"Question","Option1","Option2","Option3","Option4"
"Which language is primarily used for web development?","JavaScript","Java","Python","C++"
"What is the boiling point of water in Fahrenheit?","212°F","200°F","180°F","250°F"
"How many planets are in the solar system?","8","9","7","6"
"What is the SI unit for force?","Newton","Joule","Watt","Ampere"
"What is 12 divided by 3?","4","6","5","2"
"Which element is represented by the symbol 'Na'?","Sodium","Neon","Nitrogen","Noble"
"What is the chemical formula for methane?","CH₄","CO₂","C₆H₁₂O₆","H₂O"
"What is the SI unit of pressure?","Pascal","Newton","Joule","Volt"
"Who developed the theory of relativity?","Albert Einstein","Isaac Newton","Niels Bohr","Max Planck"
"What is the unit of electrical resistance?","Ohm","Ampere","Volt","Coulomb"
"What is the value of π to 3 decimal places?","3.142","3.141","3.120","3.150"
"Which device converts AC to DC?","Rectifier","Transformer","Transistor","Capacitor"
"What is the formula for calculating speed?","Distance/Time","Distance x Time","Time/Distance","Time x Speed"
"What is the molecular formula for water?","H₂O","CO₂","O₂","H₂"
"What is the chemical symbol for Carbon?","C","Ca","Cu","Cl"
"Who is known for the theory of evolution?","Charles Darwin","Albert Einstein","Isaac Newton","Nikola Tesla"
"Which of the following is not a primary color of light?","Green","Blue","Red","Yellow"
"What is the first element on the periodic table?","Hydrogen","Helium","Lithium","Oxygen"
"What is the square root of 25?","5","6","4","7"
"Which programming language is known for its use in statistical computing?","R","Python","C","Java"
"What is the chemical formula for carbon dioxide?","CO₂","O₂","CO","H₂O"
"Which of the following is a non-renewable resource?","Coal","Wind","Solar","Hydropower"
"What is the freezing point of water in Fahrenheit?","32°F","0°F","50°F","20°F"
"Which programming language is known as the backbone of web development?","JavaScript","Java","C++","C#"
"What is the smallest prime number?","2","1","3","5"
"How many sides does a hexagon have?","6","5","8","7"
"What is the symbol for potassium?","K","Na","Ca","P"
"What is the chemical formula for sulfuric acid?","H₂SO₄","H₂O","CO₂","NaCl"
"Which of the following is an example of a vector quantity?","Velocity","Speed","Distance","Mass"
"Which number is known as the base of natural logarithms?","e","π","2","10"
"What is the first law of thermodynamics?","Energy cannot be created or destroyed","Energy is created from matter","Energy is always conserved","Energy can be transferred"
"Who developed the periodic table of elements?","Dmitri Mendeleev","Marie Curie","Isaac Newton","Albert Einstein"
"Which of the following is the most common gas in Earth's atmosphere?","Nitrogen","Oxygen","Carbon dioxide","Argon"
"Which programming language is used for machine learning?","Python","C","Java","JavaScript"
"Who invented the first computer?","Charles Babbage","Alan Turing","Thomas Edison","Nikola Tesla"
"What is the derivative of sin(x)?","cos(x)","-sin(x)","tan(x)","1"
"What is the sum of angles in a triangle?","180°","360°","90°","270°"
"What does RAM stand for?","Random Access Memory","Read-Only Memory","Rapid Access Memory","Random Algorithm Memory"
"Which of these is an alkaline earth metal?","Calcium","Potassium","Sodium","Magnesium"
"What is the largest moon of Saturn?","Titan","Europa","Ganymede","Callisto"
"What is the only even prime number?","2","4","6","8"
"What is the name of the nearest star to Earth?","The Sun","Alpha Centauri","Proxima Centauri","Betelgeuse"
"What is the formula for density?","Mass/Volume","Volume/Mass","Force/Area","Speed/Time"
"Who developed the law of motion?","Isaac Newton","Albert Einstein","Niels Bohr","James Clerk Maxwell"
"What is the chemical symbol for Helium?","He","H","Ho","H2"
"Which planet is closest to the Sun?","Mercury","Venus","Earth","Mars"
"Which programming language is known as a high-level language?","Python","Assembly","Machine Language","C"
"Which planet is known for having rings?","Saturn","Jupiter","Mars","Venus"
"Which element has the symbol 'Na'?","Sodium","Nitrogen","Neon","Carbon"
"What is the chemical formula for ammonia?","NH₃","H₂O","CO₂","CH₄"
"Who proposed the heliocentric theory?","Nicolaus Copernicus","Galileo Galilei","Isaac Newton","Aristotle"
"What is the sum of interior angles of a square?","360°","180°","90°","270°"
"Which part of the computer is responsible for executing instructions?","CPU","RAM","Hard Drive","Monitor"
"How many meters are in a kilometer?","1000","100","10","10000"
